phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p
role_reversal,bert-base-uncased,7,delta_l2,1500,0.32132023547607547,2.273846623015269e-37,0.27387608105325295,3.238651428771847e-27
role_reversal,bert-base-uncased,8,delta_l2,1500,0.3246637440702821,3.6975615597209395e-38,0.2784837473914988,4.045662806927362e-28
role_reversal,bert-base-uncased,9,delta_l2,1500,0.32714748924819287,9.450315182435869e-39,0.2819113518235508,8.389050996394264e-29
role_reversal,bert-base-uncased,10,delta_l2,1500,0.2832697451825188,4.469404760803196e-29,0.23259049867360831,7.09972471094307e-20
role_reversal,bert-base-uncased,11,delta_l2,1500,0.2641046099913634,2.340348250538546e-25,0.2137080920747771,5.919434339706093e-17
role_reversal,bert-base-uncased,12,delta_l2,1500,0.26297143805401174,3.8009951094917037e-25,0.21277425712419448,8.125523778176738e-17
role_reversal,bert-base-uncased,0,delta_token_aligned,1500,-0.02454984100358812,0.3420300431644623,-0.05756516945913741,0.02578200578787926
role_reversal,bert-base-uncased,1,delta_token_aligned,1500,0.09400377737253217,0.00026657054055850187,0.03751967721440172,0.1463818469172625
role_reversal,bert-base-uncased,2,delta_token_aligned,1500,0.12736089694378938,7.470345158958972e-07,0.07222291652696752,0.0051339810120284435
role_reversal,bert-base-uncased,3,delta_token_aligned,1500,0.146658611943168,1.1552067030736645e-08,0.09551045069262948,0.00021181524286400442
role_reversal,bert-base-uncased,4,delta_token_aligned,1500,0.2173216301667334,1.7134302817035154e-17,0.18260251112348885,1.0312931412097252e-12
role_reversal,bert-base-uncased,5,delta_token_aligned,1500,0.23058114699198148,1.4955946263078357e-19,0.19159052046352662,7.236278380338764e-14
role_reversal,bert-base-uncased,6,delta_token_aligned,1500,0.2359417118746936,2.0172651484836027e-20,0.1969418971873096,1.3966280101773195e-14
role_reversal,bert-base-uncased,7,delta_token_aligned,1500,0.22292895107526323,2.3943046723937373e-18,0.1847949097302412,5.460386190362868e-13
role_reversal,bert-base-uncased,8,delta_token_aligned,1500,0.22073132910930632,5.2112351674356635e-18,0.18337949408983606,8.239512848988607e-13
role_reversal,bert-base-uncased,9,delta_token_aligned,1500,0.22591710254779365,8.205783554532402e-19,0.19237621823462472,5.700445572798379e-14
role_reversal,bert-base-uncased,10,delta_token_aligned,1500,0.21225870851792983,9.67221008595907e-17,0.17596275600041944,6.745668051401318e-12
